product_url,product_name,product_price,product_rating,product_num_reviews,page
https://www.amazon.in/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07M5P5LW3/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-23,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder","₹2,583",4.4,2025,2
https://www.amazon.in/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-24,"POLESTAR Amaze 15.6 inch 30 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",₹549,4.0,6169,2
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-25,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹549,3.9,17605,2
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-26,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Navy-Tan),₹709,4.4,6797,2
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTQzNTM5OTY3MDUyNjU1OjE2OTc2MTI3NjY6c3BfbXRmOjMwMDA3MDY3MDgyOTUzMjo6MDo6&url=%2FTabelito-NEXA-Backpack-Business-Compartment%2Fdp%2FB0C2D4KWQ6%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697612766%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook",₹349,4.0,176,2
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTQzNTM5OTY3MDUyNjU1OjE2OTc2MTI3NjY6c3BfbXRmOjIwMDY4MTk0MzMzMjAzOjowOjo&url=%2FHoteon-Backpack-Anti-Theft-Earphone-Resistant%2Fdp%2FB08HM4TQZZ%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697612766%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Golden Wolf Backpack with Rain Cover Anti-theft Backpack with Lock 15.6-inch Laptop Bag Multi-pockets with USB Port for Business Travel College,Dark Grey","₹1,999",4.3,3623,2
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-29,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",₹229,4.1,10271,2
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-30,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹229,4.1,10271,2
https://www.amazon.in/ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-31,ADISA Women's Girls Party Sling Bag Crossbody,₹309,4.0,689,2
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-32,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,"₹1,399",4.3,1343,2
https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-33,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"₹1,299",4.5,4528,2
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-34,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹799,4.1,6663,2
